,komentar,rating,kelas,komentar_bersih
22,"Saya selalu mengutamakan kejujuran, respond yang baik dan menghargai antara pembeli dan penjual.

Mohon tolong di peringatkan untuk seluruh Toko / Seller Official untuk t... ",3,netral,utama jujur respond harga beli jual mohon tolong ingat toko seller official t
23,barang sudah diterima dan berfungsi dengan baik.. hanya saja pengiriman lama padahal menggunakan harga next day jdi agak rugi diongkos aja,5,positif,barang terima fungsi kirim harga next day jdi rugi ongkos aja
24,"paketnya sudah sampai...packingnya rapi pengirimannya sesuai estimasi
semoga hp nya berfungsi dengan baik",5,positif,paket packingnya rapi kirim sesuai estimasi moga hp fungsi
25,Barang lebih cepat dri perkiran mantaff. & masih segel smpe di tmpat ok lah poko yah,5,positif,barang cepat dri kir mantaff segel smpe tmpat ok poko yah
26,"barang aman masih tersegel dengan baik, warna sesuai pesanan 😭 bismillah awet yaaaaa",5,positif,barang aman segel warna sesuai pesan bismillah awet yaaaaa
27,"tersegel & berfungsi baik, semoga awet",5,positif,segel fungsi moga awet
28,bagus,5,positif,bagus
29,"masih segel, packing aman dan pengiriman juga super cepat. walaupun respon seller agak kurang tp percaya aja krn ini official store. Alhamdulillah puas bgt gak nyesel.",5,positif,segel packing aman kirim super cepat respon seller tp percaya aja krn official store alhamdulillah puas bgt gak nyesel
30,"Semoga awet, warnanya bagussss",5,positif,moga awet warna bagussss
31,Thanks xiaomi indonesia,4,positif,thanks xiaomi indonesia
32,"mantap lahh , ampe 2 x beli yang sama biar coplee .. 😂😂",5,positif,mantap lahh ampe x beli biar coplee
33,"Selalu tidak kecewa, pengiriman cepat kualitas bagus..",5,positif,kecewa kirim cepat kualitas bagus
34,Barang masih di segel waktu sampai & ada garansi resminya ✨ berfungsi dengan baik dan original pasti top,5,positif,barang segel garansi resmi fungsi original top
35,barang mantap,5,positif,barang mantap
36,good,5,positif,good
37, ,5,positif,
38,"sesuai deskripsi , mantap lahh .. 😁",5,positif,sesuai deskripsi mantap lahh
39,terimakasih gan barang sudah saya Terima 👍👍👍,5,positif,terimakasih gan barang terima
40,"Bagus, susuai deskripsi",5,positif,bagus susuai deskripsi
41,Asli 100%,5,positif,asli
42,Barang Original.. BNIB.... masih segel... Semoga awet... thank you Xiaomi..🙏🏻👍🏾,5,positif,barang original bnib segel moga awet thank you xiaomi
43,"mantaap, alhamdulillah barangnya sampai dengan selamaat👍",5,positif,mantaap alhamdulillah barang selamaat
44,"barang masih tersegel saat sampai, original, packing aman, dan kirim cepat",5,positif,barang segel original packing aman kirim cepat
45,"Kualitas hpnya bagus, dari segi harga dan spesifikasi yang di tawarkan sangat baik. Pengiriman juga lumayan cepat. Tapi kenapa saya cuma kasih bintang 3, karena hpnya ada... ",3,netral,kualitas hpnya bagus segi harga spesifikasi tawar kirim lumayan cepat kasih bintang hpnya
46,Xiaomi selalu pilihan yang pas di kelas harga ini.,5,positif,xiaomi pilih pas kelas harga
47,Worth It banget walaupun keluaran tahun lalu,5,positif,worth it banget keluar
48,woke,5,positif,woke
49,"ori barangnya, packing rapihhhh, cepat ga pake lama",5,positif,ori barang packing rapihhhh cepat ga pake
50,"Alhamdulillah... barang sampai tanpa kendala, barang tersegel rapih, ori, dan berfungsi dengan baik...Terima Kasih.",5,positif,alhamdulillah barang kendala barang segel rapih ori fungsi terima kasih
51,mantab,5,positif,mantab
52,pengiriman telat,4,positif,kirim telat
53,"Makasih sampai dengan selamat no minus, kereenn 👍👍👍",5,positif,makasih selamat no minus kereenn
54,"Alhamdulillah pesanan sudah mendarat dgn slmt, mudh²an awet",5,positif,alhamdulillah pesan darat dgn slmt mudh an awet
55,recommended,4,positif,recommended
56,"Barang masih disegel, berfungsi dgn baik, original bergaransi, all good",5,positif,barang segel fungsi dgn original garansi all good
57,"barang ori, sesuai pesanan",5,positif,barang ori sesuai pesan
58,Nice Product,5,positif,nice product
59,pengiriman lama,4,positif,kirim
60,"sampai dengan selamat, sudah dicoba dan berfungsi dengan baik",5,positif,selamat coba fungsi
61,barang original dan pengiriman cepat lewat lion parcel,5,positif,barang original kirim cepat lion parcel
62,Alhamdulillah sampai dg selamat. barang ORI. dan masih segel. terimakasih. di beli hp a gan,5,positif,alhamdulillah dg selamat barang ori segel terimakasih beli hp a gan
63,"respon seller bagus, langsung dikirim dihari yg sama, paking bagus barang aman, berfungsi normal",5,positif,respon seller bagus langsung kirim hari paking bagus barang aman fungsi normal
64,sesuai harapan barang ori ga kecewa trima kasi,5,positif,sesuai harap barang ori ga kecewa trima kasi
65,"Segel, isi lengkap dan berfungsi dg baik",5,positif,segel isi lengkap fungsi dg
66,Alhamdulillah barang datang dengan selamat.. semoga awet barang nya..,5,positif,alhamdulillah barang selamat moga awet barang
67,barang official dari xiaomi pasti sudah terjamin aman,5,positif,barang official xiaomi jamin aman
68,puas kalo belanja di official.. terjamin aslinya. Tokopedia mantap. dapet potongan langsung lumayan. ngga kaya di sebelah potongannya berupa cashback. terima kasih,5,positif,puas kalo belanja official jamin asli tokopedia mantap dapet potong langsung lumayan ngga kaya belah potong cashback terima kasih
69,packing rapi banget dong.. asli ori.. segel.. top puas banget pokoknya beli disini.. sangat terpercaya..,5,positif,packing rapi banget asli ori segel top puas banget pokok beli percaya
70,"sampai dengan selamat, sudah dicoba dan berfungsi dengan baik",5,positif,selamat coba fungsi
71,barang original dan pengiriman cepat lewat lion parcel,5,positif,barang original kirim cepat lion parcel
72,Alhamdulillah sampai dg selamat. barang ORI. dan masih segel. terimakasih. di beli hp a gan,5,positif,alhamdulillah dg selamat barang ori segel terimakasih beli hp a gan
73,"respon seller bagus, langsung dikirim dihari yg sama, paking bagus barang aman, berfungsi normal",5,positif,respon seller bagus langsung kirim hari paking bagus barang aman fungsi normal
74,sesuai harapan barang ori ga kecewa trima kasi,5,positif,sesuai harap barang ori ga kecewa trima kasi
75,"Segel, isi lengkap dan berfungsi dg baik",5,positif,segel isi lengkap fungsi dg
76,Alhamdulillah barang datang dengan selamat.. semoga awet barang nya..,5,positif,alhamdulillah barang selamat moga awet barang
77,barang official dari xiaomi pasti sudah terjamin aman,5,positif,barang official xiaomi jamin aman
78,puas kalo belanja di official.. terjamin aslinya. Tokopedia mantap. dapet potongan langsung lumayan. ngga kaya di sebelah potongannya berupa cashback. terima kasih,5,positif,puas kalo belanja official jamin asli tokopedia mantap dapet potong langsung lumayan ngga kaya belah potong cashback terima kasih
79,packing rapi banget dong.. asli ori.. segel.. top puas banget pokoknya beli disini.. sangat terpercaya..,5,positif,packing rapi banget asli ori segel top puas banget pokok beli percaya
80,"barang dah sampai dengan aman,,barang masih di segel warna sesuai.",5,positif,barang dah aman barang segel warna sesuai
81,"packing rapi dan aman. segel masih utuh, isi lengkap sesuai deskripsi. belum sempat coba sampe nyala.",5,positif,packing rapi aman segel utuh isi lengkap sesuai deskripsi coba sampe nyala
82,kualitas mayan,5,positif,kualitas mayan
83, ,5,positif,
84,"Packaging aman, hp segel
mantaplah",5,positif,packaging aman hp segel mantap
85,Luar Biasa. Nice Recomended 2023 Maret,5,positif,nice recomended maret
86,mantul......,5,positif,mantul
87,terbaik jika membeli produk langsung dari distributor resminya,5,positif,baik beli produk langsung distributor resmi
88,Terima kasih,5,positif,terima kasih
89, ,5,positif,
90,"Barang sdh sampai dgn selamat. Kondisi masih tersegel. Barang ori sesuai dekripsi produk
Packing rapi dan aman.
Perlengkapan dlm dus lengkap",5,positif,barang sdh dgn selamat kondisi segel barang ori sesuai dekripsi produk packing rapi aman lengkap dlm dus lengkap
91,saran: jangan pakek kurir sicepat.(7 hari baru sampai),5,positif,saran pakek kurir sicepat
92,"Barang bersegel, kemasan rapi dan aman",5,positif,barang segel kemas rapi aman
93,barang original pengiriman cepat masih di segel pula mamtap,5,positif,barang original kirim cepat segel mamtap
94,barangnya ori masih segel xiomi mantappp dah xiomi jujur amanah semoga lancar selalu usahanya,5,positif,barang ori segel xiomi mantappp dah xiomi jujur amanah moga lancar usaha
95,"Barang diterima dgn aman dan berfungsi normal, terima kasih",5,positif,barang terima dgn aman fungsi normal terima kasih
96,sesuai pesanan 🤗🤗,5,positif,sesuai pesan
97,sesuai deskripsi,5,positif,sesuai deskripsi
98,"Untuk spek barang sesuai deskripsi, kamera juga bener"" jelas meskipun sudah di zoom sampe mentok. Layar tajem setajam omongan tetangga, speaker juga oke bgt. Untuk mu... ",5,positif,spek barang sesuai deskripsi kamera bener zoom sampe mentok layar tajem tajam omong tetangga speaker oke bgt mu
99,kemarin sampai. lagi di cek performa nya,5,positif,kemarin cek performa
